REGION,GENE
YDR329C,PEX3
YDR244W,PEX5
YDR142C,PEX7
YDR459C,PFA5
YDR306C,PFU1
YDR281C,PHM6
YDL236W,PHO13
YDL106C,PHO2
YDR481C,PHO8
YDR374C,PHO92
YDR313C,PIB1
YDR490C,PKH1
YDR466W,PKH3
YDR501W,PLM2
YDR183W,PLP1
YDR276C,PMP3
YDL095W,PMT1
YDL093W,PMT5
YDR307W,PMT7
YDL102W,POL3
YDL134C,PPH21
YDL188C,PPH22
YDR075W,PPH3
YDR435C,PPM1
YDR452W,PPN1
YDR436W,PPZ2
YDL039C,PRM7
YDR300C,PRO1
YDL043C,PRP11
YDR243C,PRP28
YDR473C,PRP3
YDR235W,PRP42
YDL030W,PRP9
YDL214C,PRR2
YDL055C,PSA1
YDR013W,PSF1
YDR505C,PSP1
YDR055W,PST1
YDR032C,PST2
YDL006W,PTC1
YDL230W,PTP1
YDR496C,PUF6
YDL036C,PUS9
YDR529C,QCR7
YDL103C,QRI1
YDL104C,QRI7
YDR030C,RAD28
YDR419W,RAD30
YDR314C,RAD34
YDR076W,RAD55
YDR004W,RAD57
YDL059C,RAD59
YDR014W,RAD61
YDR217C,RAD9
YDL090C,RAM1
YDR202C,RAV2
YDR527W,RBA50
YDL189W,RBS1
YDR003W,RCR2
YDL135C,RDI1
YDR195W,REF2
YDR028C,REG1
YDR379W,RGA2
YDR137W,RGP1
YDL138W,RGT2
YDR487C,RIB3
YDR198C,RKM2
YDR257C,RKM4
YDR091C,RLI1
YDL001W,RMD1
YDR255C,RMD5
YDR465C,RMT2
YDR279W,RNH202
YDR156W,RPA14
YDR404C,RPB7
YDR045C,RPC11
YDL150W,RPC53
YDR418W,RPL12B
YDL082W,RPL13A
YDR471W,RPL27B
YDL075W,RPL31A
YDL191W,RPL35A
YDL136W,RPL35B
YDR500C,RPL37B
YDL184C,RPL41A
YDL133C-A,RPL41B
YDR012W,RPL4B
YDL020C,RPN4
YDL147W,RPN5
YDL097C,RPN6
YDR427W,RPN9
YDL140C,RPO21
YDL081C,RPP1A
YDL130W,RPP1B
YDR382W,RPP2B
YDR025W,RPS11A
YDR064W,RPS13
YDL083C,RPS16B
YDR447C,RPS17B
YDR450W,RPS18A
YDL061C,RPS29B
YDL007W,RPT2
YDR394W,RPT3
YDR333C,RQC1
YDR065W,RRG1
YDL216C,RRI1
YDR087C,RRP1
YDR412W,RRP17
YDL111C,RRP42
YDR280W,RRP45
YDR083W,RRP8
YDR303C,RSC3
YDR041W,RSM10
YDR175C,RSM24
YDR494W,RSM28
YDL025C,RTK1
YDR233C,RTN1
YDL204W,RTN2
YDR066C,RTR2
YDR289C,RTT103
YDR139C,RUB1
YDR190C,RVB1
YDR388W,RVS167
YDL076C,RXT3
YDR159W,SAC3
YDR129C,SAC6
YDR389W,SAC7
YDR502C,SAM2
YDR143C,SAN1
YDL153C,SAS10
YDR181C,SAS4
YDR351W,SBE2
YDR180W,SCC2
YDL139C,SCM3
YDR469W,SDC1
YDR178W,SDH4
YDR379C-A,SDH6
YDR511W,SDH7
YDR164C,SEC1
YDR498C,SEC20
YDR238C,SEC26
YDL195W,SEC31
YDR166C,SEC5
YDR170C,SEC7
YDR077W,SED1
YDR363W-A,SEM1
YDR023W,SES1
YDL168W,SFA1
YDR393W,SHE9
YDL212W,SHR3
YDL225W,SHS1
YDR078C,SHU2
YDR422C,SIP1
YDL042C,SIR2
YDR227W,SIR4
YDL047W,SIT4
YDR409W,SIZ1
YDR328C,SKP1
YDL052C,SLC1
YDR489W,SLD5
YDR515W,SLF1
YDL033C,SLM3
YDR088C,SLU7
YDL013W,SLX5
YDR189W,SLY1
YDR510W,SMT3
YDR525W-A,SNA2
YDL123W,SNA4
YDR186C,SND1
YDR477W,SNF1
YDR073W,SNF11
YDL194W,SNF3
YDR478W,SNM1
YDR011W,SNQ2
YDL098C,SNU23
YDR240C,SNU56
YDR425W,SNX41
YDR006C,SOK1
YDL246C,SOR2
YDR356W,SPC110
YDR201W,SPC19
YDR504C,SPG3
YDR104C,SPO71
YDR464W,SPP41
YDR218C,SPR28
YDR523C,SPS1
YDR522C,SPS2
YDR392W,SPT3
YDR308C,SRB7
YDL133W,SRF1
YDR292C,SRP101
YDL092W,SRP14
YDL229W,SSB1
YDR293C,SSD1
YDR312W,SSF2
YDR443C,SSN2
YDR086C,SSS1
YDR160W,SSY1
YDR169C,STB3
YDR410C,STE14
YDR103W,STE5
YDL159W,STE7
YDL130W-A,STF1
YDR536W,STL1
YDR082W,STN1
YDR463W,STP1
YDL048C,STP4
YDL084W,SUB2
YDR310C,SUM1
YDR172W,SUP35
YDR297W,SUR2
YDR346C,SVF1
YDR320C,SWA2
YDR126W,SWF1
YDR146C,SWI5
YDR260C,SWM1
YDR334W,SWR1
YDR395W,SXM1
YDR416W,SYF1
YDL063C,SYO1
YDR167W,TAF10
YDR145W,TAF12
YDR212W,TCP1
YDR311W,TFB1
YDR460W,TFB3
YDR079C-A,TFB5
YDR362C,TFC6
YDR058C,TGL2
YDL244W,THI13
YDL080C,THI3
YDR438W,THI74
YDR429C,TIF35
YDR322C-A,TIM11
YDL217C,TIM22
YDR275W,TLD1
YDR468C,TLG1
YDL110C,TMA17
YDR117C,TMA64
YDR107C,TMN2
YDR105C,TMS1
YDR457W,TOM1
YDR050C,TPI1
YDR074W,TPS2
YDR120C,TRM1
YDL112W,TRM3
YDL201W,TRM8
YDR165W,TRM82
YDR007W,TRP1
YDR354W,TRP4
YDR353W,TRR1
YDR407C,TRS120
YDR246W,TRS23
YDR472W,TRS31
YDR108W,TRS85
YDR453C,TSA2
YDL015C,TSC13
YDL060W,TSR1
YDR100W,TVP15
YDR084C,TVP23
YDR390C,UBA2
YDR177W,UBC1
YDR092W,UBC13
YDR059C,UBC5
YDL064W,UBC9
YDL122W,UBP1
YDL091C,UBX3
YDR330W,UBX5
YDL190C,UFD2
YDL170W,UGA3
YDL210W,UGA4
YDR470C,UGO1
YDL169C,UGX2
YDR207C,UME6
YDR213W,UPC2
YDR185C,UPS3
YDR520C,URC2
YDR400W,URH1
YDL058W,USO1
YDR324C,UTP4
YDR398W,UTP5
YDR449C,UTP6
YDL077C,VAM6
YDR119W,VBA4
YDL128W,VCX1
YDR247W,VHS1
YDL185W,VMA1
YDR049W,VMS1
YDR495C,VPS3
YDR080W,VPS41
YDR484W,VPS52
YDR027C,VPS54
YDR486C,VPS60
YDR136C,VPS61
YDR200C,VPS64
YDR485C,VPS72
YDR372C,VPS74
YDR089W,VTC5
YDL224C,WHI4
YDR374W-A,WIP1
YDR369C,XRS2
YDR259C,YAP6
YDR135C,YCF1
YDR325W,YCG1
YDL206W,YCX1
YDL072C,YET3
YDL120W,YFH1
YDR319C,YFT2
YDR451C,YHP1
YDR057W,YOS9
YDL235C,YPD1
YDR352W,YPQ2
YDR368W,YPR1
YDR349C,YPS7
YDR381W,YRA1
YDR002W,YRB1
YDR545W,YRF1-1
YDR326C,YSP2
YDR285W,ZIP1
YDL007C-A,YDL007C-A
YDL009C,YDL009C
YDL011C,YDL011C
YDL012C,YDL012C
YDL016C,YDL016C
YDL022C-A,YDL022C-A
YDL023C,YDL023C
YDL025W-A,YDL025W-A
YDL026W,YDL026W
YDL032W,YDL032W
YDL034W,YDL034W
YDL038C,YDL038C
YDL041W,YDL041W
YDL050C,YDL050C
YDL057W,YDL057W
YDL062W,YDL062W
YDL068W,YDL068W
YDL071C,YDL071C
YDL085C-A,YDL085C-A
YDL086C-A,YDL086C-A
YDL086W,YDL086W
YDL094C,YDL094C
YDL109C,YDL109C
YDL114W,YDL114W
YDL114W-A,YDL114W-A
YDL118W,YDL118W
YDL124W,YDL124W
YDL129W,YDL129W
YDL144C,YDL144C
YDL152W,YDL152W
YDL158C,YDL158C
YDL159C-B,YDL159C-B
YDL159W-A,YDL159W-A
YDL162C,YDL162C
YDL163W,YDL163W
YDL172C,YDL172C
YDL177C,YDL177C
YDL185C-A,YDL185C-A
YDL186W,YDL186W
YDL187C,YDL187C
YDL196W,YDL196W
YDL199C,YDL199C
YDL211C,YDL211C
YDL218W,YDL218W
YDL221W,YDL221W
YDL228C,YDL228C
YDL240C-A,YDL240C-A
YDL241W,YDL241W
YDL242W,YDL242W
YDL247W-A,YDL247W-A
YDR003W-A,YDR003W-A
YDR008C,YDR008C
YDR010C,YDR010C
YDR015C,YDR015C
YDR018C,YDR018C
YDR029W,YDR029W
YDR034C-A,YDR034C-A
YDR034C-C,YDR034C-C
YDR034C-D,YDR034C-D
YDR042C,YDR042C
YDR048C,YDR048C
YDR053W,YDR053W
YDR061W,YDR061W
YDR094W,YDR094W
YDR095C,YDR095C
YDR098C-A,YDR098C-A
YDR098C-B,YDR098C-B
YDR102C,YDR102C
YDR109C,YDR109C
YDR114C,YDR114C
YDR118W-A,YDR118W-A
YDR124W,YDR124W
YDR131C,YDR131C
YDR133C,YDR133C
YDR149C,YDR149C
YDR154C,YDR154C
YDR157W,YDR157W
YDR169C-A,YDR169C-A
YDR170W-A,YDR170W-A
YDR182W-A,YDR182W-A
YDR183C-A,YDR183C-A
YDR187C,YDR187C
YDR193W,YDR193W
YDR194W-A,YDR194W-A
YDR199W,YDR199W
YDR203W,YDR203W
YDR209C,YDR209C
YDR210C-C,YDR210C-C
YDR210C-D,YDR210C-D
YDR210W-A,YDR210W-A
YDR210W-B,YDR210W-B
YDR215C,YDR215C
YDR220C,YDR220C
YDR222W,YDR222W
YDR230W,YDR230W
YDR239C,YDR239C
YDR246W-A,YDR246W-A
YDR248C,YDR248C
YDR249C,YDR249C
YDR250C,YDR250C
YDR261C-C,YDR261C-C
YDR261C-D,YDR261C-D
YDR261W-A,YDR261W-A
YDR261W-B,YDR261W-B
YDR262W,YDR262W
YDR269C,YDR269C
YDR271C,YDR271C
YDR274C,YDR274C
YDR278C,YDR278C
YDR290W,YDR290W
YDR316W-A,YDR316W-A
YDR316W-B,YDR316W-B
YDR320W-B,YDR320W-B
YDR327W,YDR327W
YDR338C,YDR338C
YDR340W,YDR340W
YDR341C,YDR341C
YDR344C,YDR344C
YDR354C-A,YDR354C-A
YDR355C,YDR355C
YDR365W-A,YDR365W-A
YDR365W-B,YDR365W-B
YDR371C-A,YDR371C-A
YDR391C,YDR391C
YDR396W,YDR396W
YDR401W,YDR401W
YDR406W-A,YDR406W-A
YDR413C,YDR413C
YDR415C,YDR415C
YDR417C,YDR417C
YDR426C,YDR426C
YDR431W,YDR431W
YDR433W,YDR433W
YDR442W,YDR442W
YDR444W,YDR444W
YDR445C,YDR445C
YDR455C,YDR455C
YDR464C-A,YDR464C-A
YDR467C,YDR467C
YDR474C,YDR474C
YDR476C,YDR476C
YDR491C,YDR491C
YDR509W,YDR509W
YDR510C-A,YDR510C-A
YDR514C,YDR514C
YDR521W,YDR521W
YDR524C-A,YDR524C-A
YDR524C-B,YDR524C-B
YDR524W-C,YDR524W-C
YDR526C,YDR526C
YDR535C,YDR535C
YDR537C,YDR537C
YDR541C,YDR541C
YDR543C,YDR543C
YDR544C,YDR544C
YDR545C-A,YDR545C-A
YIL044C,AGE2
YIL087C,AIM19
YIL158W,AIM20
YIR003W,AIM21
YIL079C,AIR1
YIL040W,APQ12
YIL062C,ARC15
YIL130W,ASG1
YIL146C,ATG32
YIL156W-B,ATG44
YIL088C,AVT7
YIL140W,AXL2
YIL124W,AYR1
YIL015W,BAR1
YIL033C,BCY1
YIL004C,BET1
YIL096C,BMT5
YIL159W,BNR1
YIL083C,CAB2
YIL034C,CAP2
YIL043C,CBR1
YIL142W,CCT2
YIL003W,CFD1
YIL035C,CKA1
YIL002W-A,CMI7
YIL157C,COA1
YIL111W,COX5B
YIL132C,CSM2
YIL169C,CSS1
YIL036W,CST6
YIR027C,DAL1
YIR029W,DAL2
YIR032C,DAL3
YIR028W,DAL4
YIR031C,DAL7
YIR023W,DAL81
YIR030C,DCG1
YIL049W,DFG10
YIR004W,DJP1
YIL010W,DOT5
YIL103W,DPH1
YIR010W,DSN1
YIL064W,EFM4
YIR007W,EGH1
YIL029C,EMA17
YIL027C,EMC5
YIL005W,EPS1
YIL151C,ESL1
YIL009C-A,EST3
YIL009W,FAA3
YIL019W,FAF1
YIL065C,FIS1
YIL131C,FKH1
YIR019C,FLO11
YIL134W,FLX1
YIL098C,FMC1
YIL097W,FYV10
YIR013C,GAT4
YIL053W,GPP1
YIR038C,GTT1
YIL155C,GUT2
YIL041W,GVP36
YIL116W,HIS5
YIL020C,HIS6
YIL072W,HOP1
YIL112W,HOS4
YIL110W,HPM1
YIL170W,HXT12
YIR037W,HYR1
YIL090W,ICE2
YIL172C,IMA3
YIL154C,IMP21
YIR024C,INA22
YIL002C,INP51
YIR036C,IRC24
YIL026C,IRR1
YIR005W,IST3
YIL125W,KGD1
YIL085C,KTR7
YIR034C,LYS1
YIL094C,LYS12
YIL070C,MAM33
YIL150C,MCM10
YIL128W,MET18
YIR017C,MET28
YIL046W,MET30
YIR033W,MGA2
YIL149C,MLP2
YIL051C,MMF1
YIR025W,MND2
YIL014W,MNT3
YIL106W,MOB1
YIR002C,MPH1
YIR021W,MRS1
YIR009W,MSL1
YIL007C,NAS2
YIL144W,NDC80
YIL048W,NEO1
YIL164C,NIT1
YIL038C,NOT3
YIR035C,NRE1
YIL115C,NUP159
YIL136W,OM45
YIR006C,PAN1
YIL145C,PAN6
YIL176C,PAU14
YIR041W,PAU15
YIL071C,PCI8
YIL050W,PCL7
YIL013C,PDR11
YIL107C,PFK26
YIL045W,PIG2
YIL042C,PKP1
YIL122W,POG1
YIL114C,POR2
YIL160C,POT1
YIR008C,PRI1
YIL095W,PRK1
YIL037C,PRM2
YIL117C,PRM5
YIL120W,QDR1
YIL121W,QDR2
YIL077C,RCI37
YIL139C,REV7
YIL057C,RGI2
YIL118W,RHO3
YIL066C,RNR3
YIL021W,RPB3
YIL119C,RPI1
YIL133C,RPL16A
YIL018W,RPL2B
YIL052C,RPL34B
YIL148W,RPL40A
YIL075C,RPN2
YIR015W,RPR2
YIL069C,RPS24B
YIL153W,RRD1
YIL127C,RRT14
YIL093C,RSM25
YIL167W,SDL1
YIL113W,SDP1
YIL084C,SDS3
YIR022W,SEC11
YIL109C,SEC24
YIL076W,SEC28
YIL068C,SEC6
YIL074C,SER33
YIL099W,SGA1
YIR001C,SGN1
YIL104C,SHQ1
YIL123W,SIM1
YIL105C,SLM1
YIL147C,SLN1
YIL161W,SMU2
YIL016W,SNL1
YIL061C,SNP1
YIL166C,SOA1
YIL073C,SPO22
YIR012W,SQT1
YIL143C,SSL2
YIL030C,SSM4
YIL126W,STH1
YIR011C,STS1
YIL162W,SUC2
YIL047C,SYG1
YIL129C,TAO3
YIL039W,TED1
YIL078W,THS1
YIL022W,TIM44
YIL011W,TIR3
YIL137C,TMA108
YIL138C,TPM2
YIL156W,UBP7
YIL031W,ULP2
YIL008W,URM1
YIL091C,UTP25
YIL056W,VHR1
YIL135C,VHS2
YIL017C,VID28
YIR014W,VLD1
YIL152W,VPR1
YIL173W,VTH1
YIL101C,XBP1
YIR018W,YAP5
YIL006W,YIA6
YIL023C,YKE4
YIR039C,YPS6
YIL063C,YRB2
YIR026C,YVH1
YIL001W,YIL001W
YIL012W,YIL012W
YIL014C-A,YIL014C-A
YIL020C-A,YIL020C-A
YIL021C-A,YIL021C-A
YIL024C,YIL024C
YIL025C,YIL025C
YIL028W,YIL028W
YIL029W-A,YIL029W-A
YIL030W-A,YIL030W-A
YIL032C,YIL032C
YIL046W-A,YIL046W-A
YIL047C-A,YIL047C-A
YIL054W,YIL054W
YIL055C,YIL055C
YIL058W,YIL058W
YIL059C,YIL059C
YIL060W,YIL060W
YIL066W-A,YIL066W-A
YIL067C,YIL067C
YIL068W-A,YIL068W-A
YIL071W-A,YIL071W-A
YIL080W,YIL080W
YIL082W,YIL082W
YIL082W-A,YIL082W-A
YIL086C,YIL086C
YIL089W,YIL089W
YIL092W,YIL092W
YIL100C-A,YIL100C-A
YIL100W,YIL100W
YIL102C,YIL102C
YIL102C-A,YIL102C-A
YIL105W-A,YIL105W-A
YIL108W,YIL108W
YIL115W-A,YIL115W-A
YIL134C-A,YIL134C-A
YIL141W,YIL141W
YIL142C-A,YIL142C-A
YIL156W-A,YIL156W-A
YIL163C,YIL163C
YIL165C,YIL165C
YIL168W,YIL168W
YIL171W,YIL171W
YIL171W-A,YIL171W-A
YIL174W,YIL174W
YIL175W,YIL175W
YIL177C,YIL177C
YIL177W-A,YIL177W-A
YIR016W,YIR016W
YIR017W-A,YIR017W-A
YIR018C-A,YIR018C-A
YIR020C,YIR020C
YIR020C-B,YIR020C-B
YIR020W-A,YIR020W-A
YIR021W-A,YIR021W-A
YIR023C-A,YIR023C-A
YIR030W-A,YIR030W-A
YIR036W-A,YIR036W-A
YIR040C,YIR040C
YIR042C,YIR042C
YIR043C,YIR043C
YIR044C,YIR044C
Q0050,AI1
Q0055,AI2
Q0060,AI3
Q0065,AI4
Q0070,AI5_ALPHA
Q0075,AI5_BETA
Q0085,ATP6
Q0080,ATP8
Q0110,BI2
Q0115,BI3
Q0120,BI4
Q0105,COB
Q0045,COX1
Q0250,COX2
Q0275,COX3
Q0130,OLI1
Q0160,SCEI
Q0140,VAR1
Q0010,Q0010
Q0017,Q0017
Q0032,Q0032
Q0092,Q0092
Q0142,Q0142
Q0143,Q0143
Q0144,Q0144
Q0182,Q0182
Q0255,Q0255
Q0297,Q0297
YER045C,ACA1
YER170W,ADK2
YEL052W,AFG1
YER017C,AFG3
YER087W,AIM10
YER093C-A,AIM11
YER080W,AIM9
YER073W,ALD5
YEL036C,ANP1
YER036C,ARB1
YER069W,ARG56
YER101C,AST2
YEL064C,AVT2
YER119C,AVT6
YER167W,BCK2
YER155C,BEM2
YER016W,BIM1
YER177W,BMH1
YER114C,BOI2
YER172C,BRR2
YEL029C,BUD16
YER014C-A,BUD25
YER159C,BUR6
YER048C,CAJ1
YEL063C,CAN1
YER168C,CCA1
YER061C,CEM1
YER164W,CHD1
YER026C,CHO1
YER030W,CHZ1
YEL061C,CIN8
YER157W,COG3
YER130C,COM2
YER141W,COX15
YEL039C,CYC7
YER143W,DDI1
YEL071W,DLD3
YER179W,DMC1
YER166W,DNF1
YER088C,DOT6
YER124C,DSE1
YEL070W,DSF1
YEL018W,EAF5
YEL030W,ECM10
YER176W,ECM32
YER035W,EDC2
YEL015W,EDC3
YER140W,EMP65
YER044C,ERG28
YER015W,FAA2
YER183C,FAU1
YER056C,FCY2
YER060W,FCY21
YER060W-A,FCY22
YER032W,FIR1
YER109C,FLO8
YER182W,FMP10
YER038W-A,FMP49
YER004W,FMP52
YEL047C,FRD1
YER145C,FTR1
YER027C,GAL83
YER025W,GCD11
YER163C,GCG1
YEL009C,GCN4
YEL042W,GDA1
YER136W,GDI1
YEL022W,GEA2
YER083C,GET2
YEL003W,GIM4
YER054C,GIP2
YEL011W,GLC3
YER133W,GLC7
YER107C,GLE2
YER040W,GLN3
YER122C,GLO3
YEL046C,GLY1
YER020W,GPA2
YER062C,GPP2
YER174C,GRX4
YEL043W,GTA1
YEL017W,GTT3
YEL056W,HAT2
YER014W,HEM14
YEL059W,HHY1
YER055C,HIS1
YER057C,HMF1
YER052C,HOM3
YEL066W,HPA3
YER039C,HVG1
YEL069C,HXT13
YEL034W,HYP2
YER065C,ICL1
YER078C,ICP55
YER092W,IES5
YEL044W,IES6
YER086W,ILV1
YEL001C,IRC22
YER019W,ISC1
YER180C,ISC10
YER048W-A,ISD11
YER051W,JHD1
YER110C,KAP123
YER038C,KRE29
YER127W,LCP5
YER112W,LSM4
YER146W,LSM5
YER142C,MAG1
YEL053C,MAK10
YER106W,MAM1
YEL032W,MCM3
YER044C-A,MEI4
YER091C,MET6
YER028C,MIG3
YEL007W,MIT1
YEL019C,MMS21
YER001W,MNN1
YER068W,MOT2
YER077C,MRX1
YEL033W,MTC7
YER042W,MXR1
YER156C,MYG1
YER002W,NOP16
YEL016C,NPP2
YEL062W,NPR2
YER126C,NSA2
YER009W,NTF2
YER006W,NUG1
YER105C,NUP157
YER154W,OXA1
YER165W,PAB1
YER007W,PAC2
YEL049W,PAU2
YER059W,PCL6
YEL058W,PCM1
YER178W,PDA1
YER149C,PEA2
YER058W,PET117
YER153C,PET122
YER037W,PHM8
YER053C,PIC2
YER132C,PMD1
YER003C,PMI40
YEL017C-A,PMP2
YEL055C,POL5
YEL060C,PRB1
YER012W,PRE1
YER023W,PRO3
YER013W,PRP22
YER099C,PRS2
YER089C,PTC2
YER075C,PTP3
YER185W,PUG1
YER094C,PUP3
YEL020C,PXP1
YEL037C,RAD23
YER173W,RAD24
YER171W,RAD3
YER162C,RAD4
YER095W,RAD51
YER067W,RGI1
YEL024W,RIP1
YEL072W,RMD6
YEL050C,RML2
YER070W,RNR1
YER169W,RPH1
YEL054C,RPL12A
YER117W,RPL23B
YER056C-A,RPL34A
YER021W,RPN3
YER074W,RPS24A
YER131W,RPS26B
YER102W,RPS8B
YER066W,RRT13
YER050C,RSM18
YER125W,RSP5
YER139C,RTR1
YER104W,RTT105
YER043C,SAH1
YER129W,SAK1
YER047C,SAP1
YER087C-B,SBH1
YER019C-A,SBH2
YER147C,SCC4
YER120W,SCS2
YEL057C,SDD1
YER008C,SEC3
YER081W,SER3
YER096W,SHC1
YER118C,SHO1
YEL065W,SIT1
YER180C-A,SLO1
YER116C,SLX8
YER029C,SMB1
YEL026W,SNU13
YEL059C-A,SOM1
YER018C,SPC25
YEL031W,SPF1
YER150W,SPI1
YER046W,SPO73
YER115C,SPR6
YER148W,SPT15
YER161C,SPT2
YER022W,SRB4
YER103W,SSA4
YER111C,SWI4
YEL048C,TCA17
YER071C,TDA2
YER063W,THO1
YEL020W-A,TIM9
YER011W,TIR1
YER007C-A,TMA20
YER113C,TMN3
YER175C,TMT1
YER184C,TOG1
YER049W,TPA1
YER090W,TRP2
YER093C,TSC11
YER100W,UBC6
YEL012W,UBC8
YER151C,UBP3
YER144C,UBP5
YER098W,UBP9
YEL021W,URA3
YER082C,UTP7
YEL040W,UTR2
YEL038W,UTR4
YEL035C,UTR5
YEL005C,VAB2
YEL013W,VAC8
YER128W,VFA1
YER064C,VHR2
YEL027W,VMA3
YEL051W,VMA8
YER072W,VTC1
YEL002C,WBP1
YER024W,YAT2
YER123W,YCK3
YEL004W,YEA4
YEL006W,YEA6
YEL041W,YEF1
YER041W,YEN1
YER005W,YND1
YER074W-A,YOS1
YER031C,YPT31
YER190W,YRF1-2
YER033C,ZRG8
YEL008C-A,YEL008C-A
YEL008W,YEL008W
YEL009C-A,YEL009C-A
YEL010W,YEL010W
YEL014C,YEL014C
YEL018C-A,YEL018C-A
YEL020C-B,YEL020C-B
YEL023C,YEL023C
YEL025C,YEL025C
YEL028W,YEL028W
YEL030C-A,YEL030C-A
YEL032C-A,YEL032C-A
YEL034C-A,YEL034C-A
YEL045C,YEL045C
YEL050W-A,YEL050W-A
YEL053W-A,YEL053W-A
YEL067C,YEL067C
YEL068C,YEL068C
YEL073C,YEL073C
YEL074W,YEL074W
YEL075C,YEL075C
YEL075W-A,YEL075W-A
YEL076C,YEL076C
YEL076C-A,YEL076C-A
YEL077C,YEL077C
YEL077W-A,YEL077W-A
YER006C-A,YER006C-A
YER010C,YER010C
YER023C-A,YER023C-A
YER034W,YER034W
YER039C-A,YER039C-A
YER046W-A,YER046W-A
YER053C-A,YER053C-A
YER066C-A,YER066C-A
YER067C-A,YER067C-A
YER068C-A,YER068C-A
YER076C,YER076C
YER076W-A,YER076W-A
YER078W-A,YER078W-A
YER079C-A,YER079C-A
YER079W,YER079W
YER084W,YER084W
YER084W-A,YER084W-A
YER085C,YER085C
YER087C-A,YER087C-A
YER088C-A,YER088C-A
YER088W-B,YER088W-B
YER090C-A,YER090C-A
YER091C-A,YER091C-A
YER097W,YER097W
YER107W-A,YER107W-A
YER108C,YER108C
YER119C-A,YER119C-A
YER121W,YER121W
YER133W-A,YER133W-A
YER134C,YER134C
YER135C,YER135C
YER137C,YER137C
YER137C-A,YER137C-A
YER137W-A,YER137W-A
YER138C,YER138C
YER138W-A,YER138W-A
YER145C-A,YER145C-A
YER147C-A,YER147C-A
YER148W-A,YER148W-A
YER152C,YER152C
YER152W-A,YER152W-A
YER158C,YER158C
YER158W-A,YER158W-A
YER159C-A,YER159C-A
YER160C,YER160C
YER165C-A,YER165C-A
YER172C-A,YER172C-A
YER175W-A,YER175W-A
YER181C,YER181C
YER186C,YER186C
YER186W-A,YER186W-A
YER187W,YER187W
YER188C-A,YER188C-A
YER188W,YER188W
YER189W,YER189W
YER190C-A,YER190C-A
YER190C-B,YER190C-B
YFL057C,AAD16
YFL056C,AAD6
YFL039C,ACT1
YFL055W,AGP3
YFL030W,AGX1
YFR016C,AIP5
YFL050C,ALR2
YFL054C,AQY3
YFR021W,ATG18
YFL010W-A,AUA1
YFL007W,BLM10
YFR047C,BNA6
YFL025C,BST1
YFL023W,BUD27
YFL028C,CAF16
YFL029C,CAK1
YFR028C,CDC14
YFR036W,CDC26
YFL009W,CDC4
YFR014C,CMK1
YFR046C,CNN1
YFL062W,COS4
YFR020W,CSS2
YFL053W,DAK2
YFR012W,DCV1
YFL061W,DDI3
YFL001W,DEG1
YFR044C,DUG1
YFR027W,ECO1
YFL048C,EMP47
YFL024C,EPL1
YFR041C,ERJ5
YFR019W,FAB1
YFR008W,FAR7
YFL041W,FET5
YFL046W,FMP32
YFL022C,FRS2
YFL021W,GAT1
YFR009W,GCN20
YFL017C,GNA1
YFR015C,GSY1
YFL027C,GYP8
YFL031W,HAC1
YFR025C,HIS2
YFL014W,HSP12
YFR053C,HXK1
YFL011W,HXT10
YFL013C,IES1
YFR017C,IGD1
YFR013W,IOC3
YFR038W,IRC5
YFR043C,IRC6
YFR055W,IRC7
YFR042W,KEG1
YFR049W,KGD4
YFL042C,LAM5
YFR001W,LOC1
YFL018C,LPD1
YFR024C-A,LSB3
YFL016C,MDJ1
YFR030W,MET10
YFR011C,MIC19
YFL034W,MIL1
YFR032C-B,MIN10
YFL034C-B,MOB2
YFR045W,MRX20
YFL003C,MSH4
YFR002W,NIC96
YFR039C,OSW7
YFL044C,OTU1
YFL020C,PAU5
YFR023W,PES4
YFR034C,PHO4
YFR050C,PRE4
YFR029W,PTR3
YFR033C,QCR6
YFR051C,RET2
YFL047W,RGD2
YFL033C,RIM15
YFR048W,RMD8
YFR022W,ROG3
YFL034C-A,RPL22B
YFR032C-A,RPL29
YFR031C-A,RPL2A
YFR004W,RPN11
YFR052W,RPN12
YFL036W,RPO41
YFR032C,RRT5
YFR037C,RSC8
YFR005C,SAD1
YFR040W,SAP155
YFL005W,SEC4
YFL045C,SEC53
YFL008W,SMC1
YFR031C,SMC2
YFL017W-A,SMX2
YFL060C,SNO3
YFL059W,SNZ3
YFL002C,SPB4
YFL026W,STE2
YFL049W,SWP82
YFL058W,THI5
YFL037W,TUB2
YFR010W,UBP6
YFR026C,ULI1
YFL004W,VTC2
YFL010C,WWM1
YFR007W,YFH7
YFR003C,YPI1
YFL038C,YPT1
YFL052W,ZNF1
YFL002W-A,YFL002W-A
YFL002W-B,YFL002W-B
YFL006W,YFL006W
YFL012W,YFL012W
YFL012W-A,YFL012W-A
YFL013W-A,YFL013W-A
YFL015C,YFL015C
YFL015W-A,YFL015W-A
YFL019C,YFL019C
YFL021C-A,YFL021C-A
YFL031C-A,YFL031C-A
YFL032W,YFL032W
YFL040W,YFL040W
YFL041W-A,YFL041W-A
YFL043C,YFL043C
YFL051C,YFL051C
YFL063W,YFL063W
YFL064C,YFL064C
YFL065C,YFL065C
YFL066C,YFL066C
YFL067W,YFL067W
YFL068W,YFL068W
YFR006W,YFR006W
YFR009W-A,YFR009W-A
YFR010W-A,YFR010W-A
